Y_TRUE,Y_PRED,BEST_PARAMS,PARAMS,EST_NAME,ESTIMATOR,DATA,SEED,RUN,ACCURACY,F1,RECALL
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 2, 'weights': 'distance'}",[1.56870454 0.5117329  1.25978484],KNN,"KNeighborsClassifier(n_neighbors=2, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",100,0,0.9247115968427444,0.9233730600951,0.9247115968427444
[1 1 1 ... 6 6 6],[1 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.24304489 0.31011227 1.08535945],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",110,1,0.9222829386763813,0.920601988560727,0.9222829386763813
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.42146174 0.1504526  1.33402821],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",120,2,0.9259259259259259,0.9245124307078423,0.9259259259259259
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 4, 'weights': 'distance'}",[3.50827601 0.79119075 1.0870122 ],KNN,"KNeighborsClassifier(n_neighbors=4, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",130,3,0.9210686095931998,0.9185443335660677,0.9210686095931998
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 2, 'weights': 'distance'}",[2.30575025 0.64393143 1.17129672],KNN,"KNeighborsClassifier(n_neighbors=2, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",140,4,0.9180327868852459,0.9161010465495734,0.9180327868852459
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.42512594 0.49970565 1.24479494],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",150,5,0.9222829386763813,0.920795549693845,0.9222829386763813
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.05277206 0.91249442 1.3703353 ],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",160,6,0.922890103217972,0.9216631723626547,0.922890103217972
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.07376468 0.4828005  1.03086988],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",170,7,0.9210686095931998,0.9192742496947961,0.9210686095931998
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.15788192 0.19778554 1.38070907],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",180,8,0.9222829386763813,0.9208806518396203,0.9222829386763813
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 4, 'weights': 'distance'}",[3.94541851 0.83123728 1.48666226],KNN,"KNeighborsClassifier(n_neighbors=4, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",190,9,0.9216757741347905,0.919288447661457,0.9216757741347905
