Y_TRUE,Y_PRED,BEST_PARAMS,PARAMS,EST_NAME,ESTIMATOR,DATA,SEED,RUN,ACCURACY,F1,RECALL
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.12994961 0.51331184 1.48931961],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",100,0,0.9247115968427444,0.9233730600951,0.9247115968427444
[1 1 1 ... 6 6 6],[1 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.         1.49084702],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",110,1,0.9222829386763813,0.920601988560727,0.9222829386763813
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.         0.27314884 1.08539291],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",120,2,0.9259259259259259,0.9245124307078423,0.9259259259259259
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 4, 'weights': 'distance'}",[3.80094208 1.         1.        ],KNN,"KNeighborsClassifier(n_neighbors=4, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",130,3,0.9210686095931998,0.9185443335660677,0.9210686095931998
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.81891802 1.45047692],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",140,4,0.9180327868852459,0.9161010465495734,0.9180327868852459
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1. 1. 1.],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",150,5,0.9222829386763813,0.920795549693845,0.9222829386763813
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.66265636 1.26926661],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",160,6,0.922890103217972,0.9216631723626547,0.922890103217972
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 2, 'weights': 'distance'}",[1.79818868 0.59631626 1.        ],KNN,"KNeighborsClassifier(n_neighbors=2, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",170,7,0.9210686095931998,0.9192742496947961,0.9210686095931998
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'uniform'}",[1.        0.2688034 1.       ],KNN,"KNeighborsClassifier(n_neighbors=1, p=1)","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",180,8,0.9222829386763813,0.9208806518396203,0.9222829386763813
[1 1 1 ... 6 6 6],[3 1 2 ... 6 6 6],"{'p': 1, 'n_neighbors': 1, 'weights': 'distance'}",[1.         0.99374816 1.11368894],KNN,"KNeighborsClassifier(n_neighbors=1, p=1, weights='distance')","[[ 0.       21.        1.62     ...  3.        1.        0.      ]
 [ 0.       21.        1.52     ...  3.        1.        1.      ]
 [ 1.       23.        1.8      ...  3.        1.        2.      ]
 ...
 [ 0.       22.524036  1.752206 ...  3.        1.        1.      ]
 [ 0.       24.361936  1.73945  ...  3.        1.        1.      ]
 [ 0.       23.664709  1.738836 ...  3.        1.        1.      ]]",190,9,0.9216757741347905,0.9200434100919589,0.9216757741347905
